grid_id,city,district,centroid_lat,centroid_lon,cell_size_km,land_use_type,population_est,household_count_est,income_bracket,age_0_14_pct,age_15_34_pct,age_35_54_pct,age_55plus_pct
GRD-0035,Jakarta,Jakarta Selatan,-6.206651,106.803959,0.5,residential,5122,1527,high,0.256,0.306,0.337,0.124
GRD-0036,Jakarta,Depok,-6.172936,106.733337,0.5,residential,4210,1054,middle,0.254,0.327,0.302,0.123
GRD-0037,Jakarta,Jakarta Barat,-6.098856,106.918687,0.5,commercial,1136,298,middle,0.172,0.337,0.317,0.142
GRD-0038,Jakarta,Jakarta Utara,-6.16577,106.850124,0.5,mixed,2010,497,middle,0.225,0.37,0.304,0.1
GRD-0039,Jakarta,Jakarta Utara,-6.298738,106.845008,0.5,residential,3719,968,middle,0.215,0.272,0.316,0.129
GRD-0040,Jakarta,Jakarta Selatan,-6.164753,106.914147,0.5,office,329,81,middle,0.125,0.431,0.385,0.078
GRD-0041,Jakarta,Tangerang,-6.147122,106.941696,0.5,residential,3115,810,middle,0.25,0.294,0.336,0.112
GRD-0042,Jakarta,Jakarta Pusat,-6.160684,106.84487,0.5,office,823,217,upper_middle,0.073,0.451,0.387,0.07
GRD-0043,Jakarta,Jakarta Utara,-6.174447,106.948399,0.5,commercial,1292,321,low,0.218,0.363,0.319,0.091
GRD-0044,Jakarta,Jakarta Pusat,-6.106526,106.862093,0.5,commercial,1320,321,lower_middle,0.195,0.349,0.328,0.117
GRD-0045,Jakarta,Bogor,-6.151371,106.868216,0.5,mixed,1485,352,lower_middle,0.186,0.32,0.344,0.14
GRD-0046,Jakarta,Jakarta Barat,-6.313042,106.779001,0.5,residential,3783,1025,upper_middle,0.266,0.322,0.349,0.124
GRD-0047,Jakarta,Bekasi,-6.287702,106.907977,0.5,residential,4850,1147,high,0.249,0.279,0.348,0.118
GRD-0048,Jakarta,Jakarta Pusat,-6.070153,106.766636,0.5,mixed,1608,475,low,0.222,0.378,0.304,0.137
GRD-0049,Jakarta,Bekasi,-6.267181,106.785575,0.5,commercial,1078,248,middle,0.199,0.352,0.337,0.104
GRD-0050,Jakarta,Jakarta Timur,-6.078329,106.814197,0.5,mixed,1603,447,lower_middle,0.172,0.339,0.303,0.112
GRD-0051,Jakarta,Bekasi,-6.102449,106.849502,0.5,commercial,648,150,low,0.207,0.334,0.355,0.099
GRD-0052,Jakarta,Jakarta Utara,-6.098713,106.842832,0.5,mixed,3105,942,middle,0.227,0.379,0.318,0.148
GRD-0053,Jakarta,Jakarta Utara,-6.172706,106.715026,0.5,residential,3375,920,lower_middle,0.228,0.312,0.291,0.16
GRD-0054,Jakarta,Jakarta Selatan,-6.203611,106.94809,0.5,office,385,105,middle,0.108,0.457,0.391,0.083
GRD-0055,Jakarta,Jakarta Pusat,-6.320695,106.915391,0.5,office,601,164,low,0.078,0.475,0.37,0.065
GRD-0056,Jakarta,Tangerang,-6.279561,106.862222,0.5,commercial,826,230,high,0.222,0.368,0.328,0.095
GRD-0057,Jakarta,Bekasi,-6.069625,106.867219,0.5,office,242,75,upper_middle,0.102,0.447,0.39,0.08
GRD-0058,Jakarta,Tangerang,-6.320169,106.900409,0.5,residential,2757,702,upper_middle,0.265,0.283,0.294,0.159
GRD-0059,Jakarta,Bekasi,-6.062399,106.7955,0.5,residential,1985,566,low,0.242,0.293,0.312,0.167
GRD-0060,Jakarta,Jakarta Barat,-6.242615,106.713786,0.5,mixed,1605,362,middle,0.172,0.342,0.327,0.147
GRD-0061,Jakarta,Tangerang,-6.121134,106.968015,0.5,commercial,424,95,lower_middle,0.227,0.369,0.306,0.103
GRD-0062,Jakarta,Jakarta Selatan,-6.232224,106.973898,0.5,mixed,1715,437,upper_middle,0.205,0.369,0.314,0.136
GRD-0063,Jakarta,Jakarta Utara,-6.290478,106.726295,0.5,mixed,1732,400,low,0.178,0.341,0.347,0.125
GRD-0064,Jakarta,Jakarta Barat,-6.188524,106.843624,0.5,mixed,1665,454,middle,0.206,0.347,0.313,0.127
GRD-0065,Jakarta,Bogor,-6.283813,106.962462,0.5,residential,4435,1181,upper_middle,0.216,0.313,0.317,0.164
GRD-0066,Jakarta,Jakarta Barat,-6.134913,106.900797,0.5,residential,4393,1129,high,0.237,0.306,0.296,0.152
GRD-0067,Jakarta,Bogor,-6.330456,106.757762,0.5,mixed,2961,693,middle,0.194,0.364,0.319,0.109
GRD-0068,Jakarta,Depok,-6.232335,106.924477,0.5,residential,2149,583,upper_middle,0.218,0.274,0.347,0.144
GRD-0069,Jakarta,Bekasi,-6.138246,106.732503,0.5,mixed,1410,423,lower_middle,0.2,0.329,0.329,0.141
GRD-0070,Jakarta,Jakarta Pusat,-6.242019,106.755051,0.5,mixed,2126,499,high,0.207,0.359,0.302,0.146
GRD-0071,Jakarta,Jakarta Barat,-6.061998,106.829346,0.5,residential,4922,1137,low,0.244,0.294,0.299,0.148
GRD-0072,Jakarta,Jakarta Timur,-6.237185,106.844902,0.5,residential,3658,1010,lower_middle,0.266,0.306,0.343,0.119
GRD-0073,Jakarta,Jakarta Pusat,-6.165475,106.980413,0.5,residential,4511,1269,middle,0.255,0.277,0.316,0.127
GRD-0074,Jakarta,Jakarta Utara,-6.197595,106.711712,0.5,residential,3418,984,lower_middle,0.218,0.285,0.31,0.11
GRD-0075,Jakarta,Bekasi,-6.083643,106.909056,0.5,commercial,1025,246,lower_middle,0.196,0.348,0.305,0.109
GRD-0076,Jakarta,Bekasi,-6.148761,106.757424,0.5,residential,3459,864,upper_middle,0.26,0.325,0.295,0.161
GRD-0077,Jakarta,Bogor,-6.251181,106.77736,0.5,residential,3070,931,upper_middle,0.248,0.302,0.302,0.157
GRD-0078,Jakarta,Jakarta Barat,-6.233733,106.938943,0.5,residential,2399,573,middle,0.249,0.281,0.336,0.14
GRD-0079,Jakarta,Depok,-6.349381,106.854387,0.5,mixed,2523,662,middle,0.208,0.368,0.335,0.111
GRD-0080,Jakarta,Jakarta Selatan,-6.198284,106.802447,0.5,residential,2975,804,middle,0.245,0.327,0.334,0.112
GRD-0081,Jakarta,Jakarta Timur,-6.276083,106.705574,0.5,residential,3748,881,middle,0.26,0.329,0.295,0.149
GRD-0082,Jakarta,Depok,-6.239752,106.837108,0.5,commercial,1045,282,upper_middle,0.216,0.361,0.303,0.128
GRD-0083,Jakarta,Bogor,-6.126507,106.800301,0.5,mixed,2232,549,low,0.225,0.339,0.339,0.13
GRD-0084,Jakarta,Jakarta Pusat,-6.265095,106.830618,0.5,residential,3342,754,middle,0.27,0.325,0.296,0.15
GRD-0085,Jakarta,Jakarta Utara,-6.195583,106.961155,0.5,residential,2677,792,lower_middle,0.215,0.321,0.296,0.156
GRD-0086,Jakarta,Jakarta Selatan,-6.307718,106.956596,0.5,mixed,1736,406,lower_middle,0.216,0.369,0.31,0.116
GRD-0087,Jakarta,Jakarta Timur,-6.301815,106.798932,0.5,office,389,108,middle,0.119,0.448,0.4,0.062
GRD-0088,Jakarta,Depok,-6.224205,107.00359,0.5,mixed,2764,810,middle,0.182,0.356,0.352,0.093
GRD-0089,Jakarta,Jakarta Pusat,-6.127439,106.767565,0.5,mixed,1710,481,upper_middle,0.224,0.329,0.326,0.147
GRD-0090,Jakarta,Tangerang,-6.185703,106.772332,0.5,office,664,179,lower_middle,0.075,0.433,0.369,0.046
GRD-0091,Jakarta,Jakarta Barat,-6.090927,106.775186,0.5,residential,2975,744,middle,0.264,0.271,0.303,0.119
GRD-0092,Jakarta,Bekasi,-6.308174,106.723023,0.5,residential,2980,796,low,0.258,0.297,0.297,0.164
GRD-0093,Jakarta,Bogor,-6.195887,106.970936,0.5,commercial,896,245,low,0.204,0.331,0.34,0.121
GRD-0094,Jakarta,Bogor,-6.236904,106.939385,0.5,commercial,341,105,upper_middle,0.193,0.342,0.345,0.111
GRD-0095,Jakarta,Jakarta Pusat,-6.166716,106.847963,0.5,mixed,2561,704,lower_middle,0.209,0.37,0.341,0.149
GRD-0096,Jakarta,Jakarta Barat,-6.106626,106.892178,0.5,residential,4979,1178,lower_middle,0.263,0.289,0.309,0.134
GRD-0097,Jakarta,Jakarta Selatan,-6.18444,106.700356,0.5,mixed,2371,653,upper_middle,0.177,0.342,0.353,0.135
GRD-0098,Jakarta,Jakarta Barat,-6.108561,106.72882,0.5,commercial,1363,329,upper_middle,0.175,0.356,0.349,0.123
GRD-0099,Jakarta,Jakarta Utara,-6.164489,106.926594,0.5,residential,4268,1129,middle,0.254,0.325,0.327,0.136
GRD-0100,Jakarta,Jakarta Selatan,-6.334097,106.879211,0.5,residential,4411,1080,upper_middle,0.267,0.279,0.326,0.157
GRD-0101,Jakarta,Tangerang,-6.196398,106.873354,0.5,residential,4123,1120,middle,0.237,0.275,0.298,0.132
GRD-0102,Jakarta,Jakarta Pusat,-6.119349,106.829202,0.5,residential,2562,764,upper_middle,0.256,0.312,0.303,0.147
GRD-0103,Jakarta,Jakarta Timur,-6.209964,106.981482,0.5,residential,2103,635,middle,0.251,0.321,0.309,0.131
GRD-0104,Jakarta,Jakarta Utara,-6.219622,106.805483,0.5,mixed,1913,427,lower_middle,0.218,0.334,0.33,0.112
GRD-0105,Jakarta,Bogor,-6.183852,106.724781,0.5,residential,2153,521,high,0.242,0.316,0.339,0.114
GRD-0106,Jakarta,Depok,-6.333495,106.744902,0.5,commercial,562,164,middle,0.228,0.346,0.355,0.093
GRD-0107,Jakarta,Jakarta Barat,-6.161945,106.878497,0.5,residential,4705,1094,upper_middle,0.225,0.308,0.323,0.118
GRD-0108,Jakarta,Bogor,-6.227433,106.757815,0.5,commercial,615,149,middle,0.206,0.371,0.334,0.14
GRD-0109,Jakarta,Jakarta Utara,-6.201103,106.871963,0.5,mixed,3543,921,middle,0.208,0.337,0.357,0.119
GRD-0110,Jakarta,Jakarta Utara,-6.342299,106.78748,0.5,commercial,623,164,middle,0.19,0.329,0.352,0.109
GRD-0111,Jakarta,Bekasi,-6.075696,106.754152,0.5,residential,3317,987,lower_middle,0.237,0.278,0.293,0.167
GRD-0112,Jakarta,Jakarta Barat,-6.134634,106.713586,0.5,mixed,2480,641,middle,0.2,0.339,0.301,0.147
GRD-0113,Jakarta,Jakarta Timur,-6.232756,106.959038,0.5,commercial,876,204,middle,0.21,0.337,0.3,0.096
GRD-0114,Jakarta,Tangerang,-6.149699,106.840179,0.5,mixed,1385,401,middle,0.203,0.324,0.33,0.136
GRD-0115,Jakarta,Jakarta Pusat,-6.214674,106.931669,0.5,residential,2196,598,middle,0.219,0.306,0.314,0.112
GRD-0116,Jakarta,Depok,-6.239956,106.838303,0.5,commercial,586,162,high,0.194,0.357,0.351,0.126
GRD-0117,Jakarta,Depok,-6.215845,106.729633,0.5,mixed,3145,941,lower_middle,0.195,0.338,0.354,0.142
GRD-0118,Jakarta,Jakarta Utara,-6.282376,106.73946,0.5,office,888,232,low,0.101,0.463,0.396,0.063
GRD-0119,Jakarta,Jakarta Pusat,-6.061984,106.852847,0.5,residential,3606,1041,middle,0.24,0.307,0.318,0.161
GRD-0120,Jakarta,Bogor,-6.341799,106.807438,0.5,residential,3131,914,lower_middle,0.265,0.291,0.311,0.156
GRD-0121,Jakarta,Jakarta Utara,-6.316692,106.759555,0.5,commercial,871,197,lower_middle,0.229,0.366,0.342,0.131
GRD-0122,Jakarta,Bogor,-6.194449,106.73245,0.5,office,274,70,middle,0.124,0.444,0.371,0.086
GRD-0123,Jakarta,Jakarta Pusat,-6.192586,106.905861,0.5,residential,3611,926,lower_middle,0.266,0.312,0.298,0.147
GRD-0124,Jakarta,Bogor,-6.084715,106.851519,0.5,residential,2753,722,lower_middle,0.251,0.278,0.348,0.169
GRD-0125,Jakarta,Depok,-6.261618,106.808455,0.5,commercial,957,218,middle,0.175,0.354,0.332,0.133
GRD-0126,Jakarta,Jakarta Barat,-6.290188,106.980582,0.5,residential,2520,604,lower_middle,0.262,0.287,0.292,0.128
GRD-0127,Jakarta,Tangerang,-6.26351,106.959662,0.5,residential,4426,1312,upper_middle,0.24,0.286,0.339,0.13
GRD-0128,Jakarta,Jakarta Barat,-6.320092,106.762407,0.5,residential,3180,789,middle,0.234,0.296,0.31,0.134
GRD-0129,Jakarta,Depok,-6.214551,106.895645,0.5,residential,2816,674,lower_middle,0.267,0.288,0.333,0.111
GRD-0130,Jakarta,Jakarta Selatan,-6.331523,106.799191,0.5,mixed,2456,558,middle,0.223,0.366,0.341,0.128
GRD-0131,Jakarta,Jakarta Timur,-6.092504,106.739095,0.5,residential,2347,589,upper_middle,0.235,0.303,0.318,0.142
GRD-0132,Jakarta,Jakarta Timur,-6.079245,106.87181,0.5,mixed,1535,418,middle,0.225,0.327,0.35,0.144
GRD-0133,Jakarta,Jakarta Barat,-6.225446,106.774196,0.5,residential,3931,993,lower_middle,0.215,0.301,0.339,0.137
GRD-0134,Jakarta,Jakarta Selatan,-6.177651,106.733018,0.5,commercial,344,107,lower_middle,0.183,0.324,0.325,0.132
GRD-0135,Jakarta,Jakarta Pusat,-6.164707,106.957099,0.5,office,568,168,lower_middle,0.108,0.464,0.408,0.062
GRD-0136,Jakarta,Bekasi,-6.160154,106.69958,0.5,residential,4596,1370,upper_middle,0.27,0.294,0.298,0.169
GRD-0137,Jakarta,Jakarta Utara,-6.356854,106.851385,0.5,commercial,1168,334,lower_middle,0.198,0.329,0.311,0.143
GRD-0138,Jakarta,Bekasi,-6.180275,106.985402,0.5,commercial,722,223,low,0.206,0.362,0.303,0.134
GRD-0139,Jakarta,Jakarta Timur,-6.106447,106.855764,0.5,mixed,1431,408,high,0.225,0.355,0.335,0.136
GRD-0140,Jakarta,Jakarta Barat,-6.062597,106.857729,0.5,office,457,116,lower_middle,0.106,0.464,0.361,0.081
GRD-0141,Bandung,Batununggal,-6.897999,107.683845,0.5,office,476,128,middle,0.088,0.431,0.382,0.054
GRD-0142,Bandung,Sukajadi,-6.950869,107.646044,0.5,mixed,3503,1038,middle,0.185,0.332,0.339,0.145
GRD-0143,Bandung,Cidadap,-6.871991,107.688923,0.5,residential,3344,844,upper_middle,0.25,0.283,0.303,0.164
GRD-0144,Bandung,Cidadap,-6.944344,107.661121,0.5,office,398,97,middle,0.094,0.434,0.369,0.057
GRD-0145,Bandung,Buah Batu,-6.966975,107.582275,0.5,residential,3900,942,upper_middle,0.256,0.289,0.302,0.129
GRD-0146,Bandung,Sukajadi,-6.932022,107.631848,0.5,residential,4066,1120,lower_middle,0.233,0.32,0.32,0.149
GRD-0147,Bandung,Cicendo,-6.843025,107.615644,0.5,office,322,88,upper_middle,0.078,0.453,0.361,0.093
GRD-0148,Bandung,Bandung Wetan,-6.9413,107.70617,0.5,mixed,1398,348,low,0.174,0.329,0.313,0.117
GRD-0149,Bandung,Cicendo,-6.934364,107.604634,0.5,mixed,1227,381,middle,0.213,0.352,0.317,0.12
GRD-0150,Bandung,Sukajadi,-6.885702,107.550388,0.5,residential,2194,565,lower_middle,0.259,0.286,0.314,0.132
GRD-0151,Bandung,Cidadap,-6.940299,107.56603,0.5,residential,5191,1407,middle,0.239,0.308,0.332,0.115
GRD-0152,Bandung,Batununggal,-6.982919,107.567922,0.5,commercial,387,89,lower_middle,0.223,0.349,0.303,0.094
GRD-0153,Bandung,Bandung Wetan,-6.968748,107.689512,0.5,residential,3088,724,low,0.259,0.326,0.308,0.144
GRD-0154,Bandung,Batununggal,-6.972506,107.659062,0.5,residential,4829,1323,upper_middle,0.216,0.284,0.295,0.146
GRD-0155,Bandung,Batununggal,-6.957398,107.560446,0.5,residential,2919,660,lower_middle,0.236,0.311,0.33,0.115
GRD-0156,Bandung,Coblong,-6.985152,107.640326,0.5,residential,2431,728,lower_middle,0.21,0.288,0.312,0.126
GRD-0157,Bandung,Cicendo,-6.887211,107.631763,0.5,commercial,511,130,low,0.206,0.367,0.352,0.091
GRD-0158,Bandung,Cidadap,-6.974483,107.629739,0.5,commercial,647,182,lower_middle,0.179,0.33,0.317,0.108
GRD-0159,Bandung,Cidadap,-6.85645,107.567488,0.5,mixed,2000,623,low,0.194,0.37,0.323,0.142
GRD-0160,Bandung,Sukajadi,-6.892259,107.564519,0.5,residential,4270,1149,lower_middle,0.229,0.314,0.328,0.168
GRD-0161,Bandung,Buah Batu,-6.84672,107.58227,0.5,mixed,2695,599,lower_middle,0.181,0.366,0.302,0.134
GRD-0162,Bandung,Buah Batu,-6.832813,107.641204,0.5,mixed,2875,818,middle,0.21,0.363,0.347,0.094
GRD-0163,Bandung,Gedebage,-6.905834,107.52954,0.5,commercial,375,88,middle,0.206,0.375,0.307,0.105
GRD-0164,Bandung,Bandung Wetan,-6.853967,107.656226,0.5,commercial,979,294,low,0.183,0.365,0.333,0.131
GRD-0165,Bandung,Cicendo,-6.887385,107.589098,0.5,mixed,3249,849,high,0.188,0.375,0.305,0.14
GRD-0166,Bandung,Batununggal,-6.854749,107.574181,0.5,commercial,1289,342,middle,0.212,0.339,0.318,0.139
GRD-0167,Bandung,Coblong,-6.942318,107.637067,0.5,mixed,2199,606,middle,0.196,0.348,0.348,0.128
GRD-0168,Bandung,Gedebage,-6.949982,107.59755,0.5,residential,4315,1346,middle,0.223,0.287,0.332,0.158
GRD-0169,Bandung,Sukajadi,-6.982669,107.640203,0.5,residential,2607,680,middle,0.268,0.289,0.313,0.134
GRD-0170,Bandung,Cicendo,-6.893091,107.600763,0.5,commercial,473,141,low,0.188,0.331,0.342,0.121
GRD-0171,Bandung,Gedebage,-6.87311,107.657113,0.5,residential,3793,1061,lower_middle,0.221,0.321,0.327,0.162
GRD-0172,Bandung,Cidadap,-6.909013,107.530975,0.5,mixed,3270,874,middle,0.22,0.349,0.305,0.092
GRD-0173,Bandung,Buah Batu,-6.841639,107.598406,0.5,residential,2982,711,upper_middle,0.243,0.277,0.297,0.157
GRD-0174,Bandung,Bandung Wetan,-6.85682,107.563927,0.5,mixed,3437,803,low,0.215,0.338,0.36,0.117
GRD-0175,Bandung,Cicendo,-6.966083,107.640912,0.5,mixed,2170,502,middle,0.207,0.346,0.337,0.137
GRD-0176,Bandung,Batununggal,-6.993877,107.64704,0.5,commercial,644,180,high,0.204,0.377,0.331,0.144
GRD-0177,Bandung,Gedebage,-6.856287,107.673058,0.5,office,405,112,low,0.085,0.471,0.374,0.049
GRD-0178,Bandung,Gedebage,-6.969047,107.568979,0.5,commercial,1125,274,upper_middle,0.223,0.347,0.329,0.125
GRD-0179,Bandung,Coblong,-6.986307,107.667597,0.5,mixed,2667,598,lower_middle,0.219,0.35,0.319,0.107
GRD-0180,Bandung,Cicendo,-6.868745,107.664876,0.5,mixed,1398,326,middle,0.171,0.376,0.309,0.117
GRD-0181,Bandung,Sukajadi,-6.87818,107.537862,0.5,mixed,1851,525,middle,0.192,0.374,0.31,0.114
GRD-0182,Bandung,Cidadap,-6.964804,107.603432,0.5,residential,2173,644,middle,0.224,0.311,0.291,0.152
GRD-0183,Bandung,Gedebage,-6.923555,107.700906,0.5,mixed,1490,351,low,0.176,0.342,0.318,0.113
GRD-0184,Bandung,Sukajadi,-6.975133,107.67679,0.5,residential,4107,1181,lower_middle,0.255,0.325,0.327,0.137
GRD-0185,Bandung,Sukajadi,-6.942903,107.65278,0.5,mixed,2772,820,lower_middle,0.187,0.325,0.333,0.126
GRD-0186,Bandung,Bandung Wetan,-6.986564,107.631905,0.5,mixed,2435,707,middle,0.194,0.359,0.347,0.138
GRD-0187,Bandung,Cidadap,-6.888538,107.585634,0.5,commercial,1381,313,high,0.178,0.372,0.334,0.112
GRD-0188,Bandung,Coblong,-6.991713,107.62509,0.5,residential,2076,633,low,0.257,0.3,0.328,0.14
GRD-0189,Bandung,Coblong,-6.972925,107.601659,0.5,commercial,868,225,lower_middle,0.182,0.368,0.332,0.113
GRD-0190,Bandung,Coblong,-6.979367,107.655706,0.5,residential,3591,954,low,0.237,0.307,0.309,0.155
GRD-0191,Bandung,Sukajadi,-6.864623,107.67622,0.5,mixed,3233,757,middle,0.186,0.342,0.345,0.142
GRD-0192,Bandung,Bandung Wetan,-6.865393,107.676381,0.5,residential,3558,796,lower_middle,0.248,0.3,0.321,0.113
GRD-0193,Bandung,Sukajadi,-6.845118,107.661065,0.5,residential,2221,693,upper_middle,0.262,0.271,0.293,0.132
GRD-0194,Bandung,Bandung Wetan,-6.839545,107.65668,0.5,commercial,759,173,lower_middle,0.189,0.37,0.334,0.097
GRD-0195,Bandung,Cidadap,-6.893479,107.689526,0.5,mixed,2842,676,upper_middle,0.189,0.325,0.327,0.112
GRD-0196,Bandung,Cidadap,-6.965009,107.629642,0.5,commercial,700,167,upper_middle,0.185,0.32,0.325,0.104
GRD-0197,Bandung,Bandung Wetan,-6.962346,107.6476,0.5,office,256,57,lower_middle,0.095,0.478,0.408,0.049
GRD-0198,Bandung,Cidadap,-6.904521,107.665291,0.5,mixed,2891,873,high,0.176,0.328,0.349,0.094
GRD-0199,Bandung,Sukajadi,-6.890532,107.556343,0.5,residential,2869,792,upper_middle,0.237,0.284,0.347,0.118
GRD-0200,Bandung,Coblong,-6.867499,107.680791,0.5,residential,3708,833,middle,0.222,0.288,0.306,0.117
GRD-0201,Surabaya,Gubeng,-7.297002,112.73518,0.5,residential,3142,858,lower_middle,0.241,0.311,0.306,0.169
GRD-0202,Surabaya,Lakarsantri,-7.246727,112.73625,0.5,commercial,493,116,low,0.177,0.324,0.347,0.103
GRD-0203,Surabaya,Wonokromo,-7.229358,112.712751,0.5,commercial,344,85,lower_middle,0.219,0.326,0.351,0.139
GRD-0204,Surabaya,Gubeng,-7.270925,112.787766,0.5,residential,4150,1015,low,0.22,0.283,0.301,0.127
GRD-0205,Surabaya,Tegalsari,-7.235553,112.852114,0.5,commercial,1281,346,low,0.195,0.359,0.348,0.105
GRD-0206,Surabaya,Gubeng,-7.286697,112.647504,0.5,office,707,194,upper_middle,0.104,0.439,0.366,0.042
GRD-0207,Surabaya,Sukolilo,-7.242206,112.83489,0.5,residential,3732,836,high,0.216,0.309,0.306,0.159
GRD-0208,Surabaya,Tegalsari,-7.221872,112.850101,0.5,commercial,1026,258,lower_middle,0.218,0.362,0.355,0.092
GRD-0209,Surabaya,Rungkut,-7.286778,112.83841,0.5,commercial,932,281,middle,0.184,0.333,0.332,0.09
GRD-0210,Surabaya,Rungkut,-7.158704,112.78345,0.5,residential,2526,614,low,0.218,0.277,0.322,0.132
GRD-0211,Surabaya,Bubutan,-7.285436,112.74383,0.5,commercial,960,231,high,0.196,0.358,0.329,0.109
GRD-0212,Surabaya,Mulyorejo,-7.292015,112.667315,0.5,residential,4212,1176,upper_middle,0.221,0.27,0.332,0.144
GRD-0213,Surabaya,Gubeng,-7.356362,112.765219,0.5,residential,3103,744,low,0.224,0.329,0.3,0.163
GRD-0214,Surabaya,Mulyorejo,-7.288638,112.743823,0.5,residential,2886,817,low,0.216,0.27,0.313,0.154
GRD-0215,Surabaya,Lakarsantri,-7.328104,112.832375,0.5,mixed,3436,813,upper_middle,0.205,0.365,0.314,0.117
GRD-0216,Surabaya,Gubeng,-7.237359,112.847388,0.5,residential,2228,654,upper_middle,0.215,0.327,0.349,0.13
GRD-0217,Surabaya,Gubeng,-7.324212,112.836832,0.5,residential,4477,1233,low,0.268,0.295,0.323,0.166
GRD-0218,Surabaya,Sukolilo,-7.324743,112.709438,0.5,residential,2003,625,low,0.215,0.319,0.328,0.139
