outlet_id,brand,date,day_of_week,daypart,estimated_visits,estimated_transactions,avg_basket_size_idr,estimated_revenue_idr
MRG-001,Marugame Udon,2026-06-08,Monday,afternoon,87,56,61219,3428264
MRG-001,Marugame Udon,2026-06-08,Monday,dinner,216,152,66759,10147368
MRG-001,Marugame Udon,2026-06-08,Monday,late_night,69,56,65818,3685808
MRG-001,Marugame Udon,2026-06-09,Tuesday,breakfast,29,20,66528,1330560
MRG-001,Marugame Udon,2026-06-09,Tuesday,lunch,293,243,58067,14110281
MRG-001,Marugame Udon,2026-06-09,Tuesday,afternoon,86,68,70661,4804948
MRG-001,Marugame Udon,2026-06-09,Tuesday,dinner,277,230,67945,15627350
MRG-001,Marugame Udon,2026-06-09,Tuesday,late_night,56,34,62257,2116738
MRG-001,Marugame Udon,2026-06-10,Wednesday,breakfast,34,26,70475,1832350
MRG-001,Marugame Udon,2026-06-10,Wednesday,lunch,229,185,71918,13304830
MRG-001,Marugame Udon,2026-06-10,Wednesday,afternoon,79,63,58046,3656898
MRG-001,Marugame Udon,2026-06-10,Wednesday,dinner,200,119,67088,7983472
MRG-001,Marugame Udon,2026-06-10,Wednesday,late_night,56,34,55527,1887918
MRG-001,Marugame Udon,2026-06-11,Thursday,breakfast,32,20,62750,1255000
MRG-001,Marugame Udon,2026-06-11,Thursday,lunch,265,179,71800,12852200
MRG-001,Marugame Udon,2026-06-11,Thursday,afternoon,61,38,52925,2011150
MRG-001,Marugame Udon,2026-06-11,Thursday,dinner,227,143,64157,9174451
MRG-001,Marugame Udon,2026-06-11,Thursday,late_night,61,34,67856,2307104
MRG-001,Marugame Udon,2026-06-12,Friday,breakfast,30,24,59057,1417368
MRG-001,Marugame Udon,2026-06-12,Friday,lunch,257,146,72865,10638290
MRG-001,Marugame Udon,2026-06-12,Friday,afternoon,102,76,71371,5424196
MRG-001,Marugame Udon,2026-06-12,Friday,dinner,247,198,70446,13948308
MRG-001,Marugame Udon,2026-06-12,Friday,late_night,65,46,63070,2901220
MRG-001,Marugame Udon,2026-06-13,Saturday,breakfast,43,31,68989,2138659
MRG-001,Marugame Udon,2026-06-13,Saturday,lunch,312,218,54241,11824538
MRG-001,Marugame Udon,2026-06-13,Saturday,afternoon,101,78,59047,4605666
MRG-001,Marugame Udon,2026-06-13,Saturday,dinner,322,248,69651,17273448
MRG-001,Marugame Udon,2026-06-13,Saturday,late_night,89,73,56992,4160416
MRG-001,Marugame Udon,2026-06-14,Sunday,breakfast,35,22,61092,1344024
MRG-001,Marugame Udon,2026-06-14,Sunday,lunch,352,199,63785,12693215
MRG-001,Marugame Udon,2026-06-14,Sunday,afternoon,104,60,64050,3843000
MRG-001,Marugame Udon,2026-06-14,Sunday,dinner,280,174,58278,10140372
MRG-001,Marugame Udon,2026-06-14,Sunday,late_night,90,53,62531,3314143
MRG-001,Marugame Udon,2026-06-15,Monday,breakfast,30,22,71791,1579402
MRG-001,Marugame Udon,2026-06-15,Monday,lunch,201,155,69502,10772810
MRG-001,Marugame Udon,2026-06-15,Monday,afternoon,64,52,66760,3471520
MRG-001,Marugame Udon,2026-06-15,Monday,dinner,205,136,66057,8983752
MRG-001,Marugame Udon,2026-06-15,Monday,late_night,70,57,67054,3822078
MRG-001,Marugame Udon,2026-06-16,Tuesday,breakfast,30,20,52467,1049340
MRG-001,Marugame Udon,2026-06-16,Tuesday,lunch,309,255,72064,18376320
MRG-001,Marugame Udon,2026-06-16,Tuesday,afternoon,75,62,68592,4252704
MRG-001,Marugame Udon,2026-06-16,Tuesday,dinner,220,177,55748,9867396
MRG-001,Marugame Udon,2026-06-16,Tuesday,late_night,67,43,69789,3000927
MRG-001,Marugame Udon,2026-06-17,Wednesday,breakfast,39,24,54022,1296528
MRG-001,Marugame Udon,2026-06-17,Wednesday,lunch,299,208,68167,14178736
MRG-001,Marugame Udon,2026-06-17,Wednesday,afternoon,99,64,61393,3929152
MRG-001,Marugame Udon,2026-06-17,Wednesday,dinner,289,167,55750,9310250
MRG-001,Marugame Udon,2026-06-17,Wednesday,late_night,64,36,61361,2208996
MRG-001,Marugame Udon,2026-06-18,Thursday,breakfast,36,23,67268,1547164
MRG-001,Marugame Udon,2026-06-18,Thursday,lunch,304,225,56254,12657150
MRG-001,Marugame Udon,2026-06-18,Thursday,afternoon,85,63,52364,3298932
MRG-001,Marugame Udon,2026-06-18,Thursday,dinner,223,143,64697,9251671
MRG-001,Marugame Udon,2026-06-18,Thursday,late_night,61,38,67664,2571232
MRG-001,Marugame Udon,2026-06-19,Friday,breakfast,38,22,65089,1431958
MRG-001,Marugame Udon,2026-06-19,Friday,lunch,268,222,62020,13768440
MRG-001,Marugame Udon,2026-06-19,Friday,afternoon,101,59,56033,3305947
MRG-001,Marugame Udon,2026-06-19,Friday,dinner,266,172,58366,10038952
MRG-001,Marugame Udon,2026-06-19,Friday,late_night,61,40,60771,2430840
MRG-001,Marugame Udon,2026-06-20,Saturday,breakfast,50,36,52744,1898784
MRG-001,Marugame Udon,2026-06-20,Saturday,lunch,271,194,65477,12702538
MRG-001,Marugame Udon,2026-06-20,Saturday,afternoon,94,54,62256,3361824
MRG-001,Marugame Udon,2026-06-20,Saturday,dinner,279,224,53369,11954656
MRG-001,Marugame Udon,2026-06-20,Saturday,late_night,92,67,55511,3719237
MRG-001,Marugame Udon,2026-06-21,Sunday,breakfast,45,32,52601,1683232
MRG-001,Marugame Udon,2026-06-21,Sunday,lunch,400,312,72288,22553856
MRG-001,Marugame Udon,2026-06-21,Sunday,afternoon,141,98,57132,5598936
MRG-001,Marugame Udon,2026-06-21,Sunday,dinner,322,268,69814,18710152
MRG-001,Marugame Udon,2026-06-21,Sunday,late_night,94,72,60525,4357800
MRG-001,Marugame Udon,2026-06-22,Monday,breakfast,29,17,70044,1190748
MRG-001,Marugame Udon,2026-06-22,Monday,lunch,275,166,56182,9326212
MRG-001,Marugame Udon,2026-06-22,Monday,afternoon,89,49,73318,3592582
MRG-001,Marugame Udon,2026-06-22,Monday,dinner,208,142,57645,8185590
MRG-001,Marugame Udon,2026-06-22,Monday,late_night,68,50,54144,2707200
MRG-001,Marugame Udon,2026-06-23,Tuesday,breakfast,38,32,60859,1947488
MRG-001,Marugame Udon,2026-06-23,Tuesday,lunch,226,150,61413,9211950
MRG-001,Marugame Udon,2026-06-23,Tuesday,afternoon,83,47,64292,3021724
MRG-001,Marugame Udon,2026-06-23,Tuesday,dinner,193,160,62439,9990240
MRG-001,Marugame Udon,2026-06-23,Tuesday,late_night,63,46,66743,3070178
MRG-001,Marugame Udon,2026-06-24,Wednesday,breakfast,40,31,52413,1624803
MRG-001,Marugame Udon,2026-06-24,Wednesday,lunch,282,187,73348,13716076
MRG-001,Marugame Udon,2026-06-24,Wednesday,afternoon,95,56,71511,4004616
MRG-001,Marugame Udon,2026-06-24,Wednesday,dinner,211,127,55955,7106285
MRG-001,Marugame Udon,2026-06-24,Wednesday,late_night,73,47,62377,2931719
MRG-001,Marugame Udon,2026-06-25,Thursday,breakfast,32,21,57905,1216005
MRG-001,Marugame Udon,2026-06-25,Thursday,lunch,209,176,63048,11096448
MRG-001,Marugame Udon,2026-06-25,Thursday,afternoon,85,53,60063,3183339
MRG-001,Marugame Udon,2026-06-25,Thursday,dinner,202,165,57966,9564390
MRG-001,Marugame Udon,2026-06-25,Thursday,late_night,67,55,63430,3488650
MRG-001,Marugame Udon,2026-06-26,Friday,breakfast,28,21,62877,1320417
MRG-001,Marugame Udon,2026-06-26,Friday,lunch,298,213,72171,15372423
MRG-001,Marugame Udon,2026-06-26,Friday,afternoon,84,57,56366,3212862
MRG-001,Marugame Udon,2026-06-26,Friday,dinner,191,115,62424,7178760
MRG-001,Marugame Udon,2026-06-26,Friday,late_night,57,39,54796,2137044
MRG-001,Marugame Udon,2026-06-27,Saturday,breakfast,51,34,73591,2502094
MRG-001,Marugame Udon,2026-06-27,Saturday,lunch,399,274,54720,14993280
MRG-001,Marugame Udon,2026-06-27,Saturday,afternoon,133,79,59826,4726254
MRG-001,Marugame Udon,2026-06-27,Saturday,dinner,316,200,70278,14055600
MRG-001,Marugame Udon,2026-06-27,Saturday,late_night,112,89,64427,5734003
MRG-001,Marugame Udon,2026-06-28,Sunday,breakfast,42,35,52386,1833510
MRG-001,Marugame Udon,2026-06-28,Sunday,lunch,404,244,72118,17596792
MRG-001,Marugame Udon,2026-06-28,Sunday,afternoon,103,72,54328,3911616
MRG-001,Marugame Udon,2026-06-28,Sunday,dinner,313,198,73430,14539140
MRG-001,Marugame Udon,2026-06-28,Sunday,late_night,81,53,72306,3832218
MRG-001,Marugame Udon,2026-06-29,Monday,breakfast,27,15,62208,933120
MRG-001,Marugame Udon,2026-06-29,Monday,lunch,246,170,65829,11190930
MRG-001,Marugame Udon,2026-06-29,Monday,afternoon,65,48,59391,2850768
MRG-001,Marugame Udon,2026-06-29,Monday,dinner,171,125,62055,7756875
MRG-001,Marugame Udon,2026-06-29,Monday,late_night,70,59,71827,4237793
MRG-001,Marugame Udon,2026-06-30,Tuesday,breakfast,31,25,69559,1738975
MRG-001,Marugame Udon,2026-06-30,Tuesday,lunch,256,202,68315,13799630
MRG-001,Marugame Udon,2026-06-30,Tuesday,afternoon,90,65,54290,3528850
MRG-001,Marugame Udon,2026-06-30,Tuesday,dinner,233,144,68898,9921312
MRG-001,Marugame Udon,2026-06-30,Tuesday,late_night,71,39,56781,2214459
MRG-001,Marugame Udon,2026-07-01,Wednesday,breakfast,31,23,72851,1675573
MRG-001,Marugame Udon,2026-07-01,Wednesday,lunch,215,137,69549,9528213
MRG-001,Marugame Udon,2026-07-01,Wednesday,afternoon,86,71,71759,5094889
MRG-001,Marugame Udon,2026-07-01,Wednesday,dinner,239,157,54367,8535619
MRG-001,Marugame Udon,2026-07-01,Wednesday,late_night,62,37,61890,2289930
MRG-001,Marugame Udon,2026-07-02,Thursday,breakfast,29,21,54240,1139040
MRG-001,Marugame Udon,2026-07-02,Thursday,lunch,241,159,56311,8953449
MRG-001,Marugame Udon,2026-07-02,Thursday,afternoon,82,47,63352,2977544
MRG-001,Marugame Udon,2026-07-02,Thursday,dinner,273,205,66243,13579815
MRG-001,Marugame Udon,2026-07-02,Thursday,late_night,71,58,63652,3691816
MRG-001,Marugame Udon,2026-07-03,Friday,breakfast,29,20,54003,1080060
MRG-001,Marugame Udon,2026-07-03,Friday,lunch,302,193,73491,14183763
MRG-001,Marugame Udon,2026-07-03,Friday,afternoon,91,58,57652,3343816
MRG-001,Marugame Udon,2026-07-03,Friday,dinner,241,173,64163,11100199
MRG-001,Marugame Udon,2026-07-03,Friday,late_night,82,57,63294,3607758
MRG-001,Marugame Udon,2026-07-04,Saturday,breakfast,44,33,69801,2303433
MRG-001,Marugame Udon,2026-07-04,Saturday,lunch,320,232,68850,15973200
MRG-001,Marugame Udon,2026-07-04,Saturday,afternoon,86,66,62265,4109490
MRG-001,Marugame Udon,2026-07-04,Saturday,dinner,348,279,53272,14862888
MRG-001,Marugame Udon,2026-07-04,Saturday,late_night,86,65,59058,3838770
MRG-001,Marugame Udon,2026-07-05,Sunday,breakfast,53,36,69694,2508984
MRG-001,Marugame Udon,2026-07-05,Sunday,lunch,348,287,69740,20015380
MRG-001,Marugame Udon,2026-07-05,Sunday,afternoon,103,59,73448,4333432
MRG-001,Marugame Udon,2026-07-05,Sunday,dinner,309,232,61639,14300248
MRG-001,Marugame Udon,2026-07-05,Sunday,late_night,79,52,52584,2734368
MRG-001,Marugame Udon,2026-07-06,Monday,breakfast,34,22,66461,1462142
MRG-001,Marugame Udon,2026-07-06,Monday,lunch,296,227,58818,13351686
MRG-001,Marugame Udon,2026-07-06,Monday,afternoon,96,70,67170,4701900
MRG-001,Marugame Udon,2026-07-06,Monday,dinner,294,221,69625,15387125
MRG-001,Marugame Udon,2026-07-06,Monday,late_night,59,34,56406,1917804
MRG-001,Marugame Udon,2026-07-07,Tuesday,breakfast,40,24,52875,1269000
MRG-001,Marugame Udon,2026-07-07,Tuesday,lunch,280,166,57504,9545664
MRG-001,Marugame Udon,2026-07-07,Tuesday,afternoon,101,81,63896,5175576
MRG-001,Marugame Udon,2026-07-07,Tuesday,dinner,217,169,55488,9377472
MRG-001,Marugame Udon,2026-07-07,Tuesday,late_night,72,42,71730,3012660
MRG-001,Marugame Udon,2026-07-08,Wednesday,breakfast,35,24,52720,1265280
MRG-001,Marugame Udon,2026-07-08,Wednesday,lunch,271,168,58646,9852528
MRG-001,Marugame Udon,2026-07-08,Wednesday,afternoon,98,65,59487,3866655
MRG-001,Marugame Udon,2026-07-08,Wednesday,dinner,214,172,61596,10594512
MRG-001,Marugame Udon,2026-07-08,Wednesday,late_night,70,48,64759,3108432
MRG-001,Marugame Udon,2026-07-09,Thursday,breakfast,43,24,60904,1461696
MRG-001,Marugame Udon,2026-07-09,Thursday,lunch,277,212,72438,15356856
MRG-001,Marugame Udon,2026-07-09,Thursday,afternoon,101,81,57291,4640571
MRG-001,Marugame Udon,2026-07-09,Thursday,dinner,209,116,64710,7506360
MRG-001,Marugame Udon,2026-07-09,Thursday,late_night,74,46,66258,3047868
MRG-001,Marugame Udon,2026-07-10,Friday,breakfast,32,23,66213,1522899
MRG-001,Marugame Udon,2026-07-10,Friday,lunch,282,192,55772,10708224
MRG-001,Marugame Udon,2026-07-10,Friday,afternoon,99,68,61732,4197776
MRG-001,Marugame Udon,2026-07-10,Friday,dinner,266,193,67048,12940264
MRG-001,Marugame Udon,2026-07-10,Friday,late_night,88,70,67699,4738930
MRG-001,Marugame Udon,2026-07-11,Saturday,breakfast,52,39,60704,2367456
MRG-001,Marugame Udon,2026-07-11,Saturday,lunch,333,277,66349,18378673
MRG-001,Marugame Udon,2026-07-11,Saturday,afternoon,102,70,73206,5124420
MRG-001,Marugame Udon,2026-07-11,Saturday,dinner,275,168,67171,11284728
MRG-001,Marugame Udon,2026-07-11,Saturday,late_night,75,52,56029,2913508
MRG-001,Marugame Udon,2026-07-12,Sunday,breakfast,41,32,72606,2323392
MRG-001,Marugame Udon,2026-07-12,Sunday,lunch,311,192,64288,12343296
MRG-001,Marugame Udon,2026-07-12,Sunday,afternoon,118,77,57914,4459378
MRG-001,Marugame Udon,2026-07-12,Sunday,dinner,308,185,70805,13098925
MRG-001,Marugame Udon,2026-07-12,Sunday,late_night,82,64,59570,3812480
MRG-001,Marugame Udon,2026-07-13,Monday,breakfast,26,18,62771,1129878
MRG-001,Marugame Udon,2026-07-13,Monday,lunch,273,214,68865,14737110
MRG-001,Marugame Udon,2026-07-13,Monday,afternoon,79,56,71599,4009544
MRG-001,Marugame Udon,2026-07-13,Monday,dinner,240,194,65310,12670140
MRG-001,Marugame Udon,2026-07-13,Monday,late_night,50,28,72675,2034900
MRG-001,Marugame Udon,2026-07-14,Tuesday,breakfast,43,33,73286,2418438
MRG-001,Marugame Udon,2026-07-14,Tuesday,lunch,312,228,70782,16138296
MRG-001,Marugame Udon,2026-07-14,Tuesday,afternoon,74,53,63222,3350766
MRG-001,Marugame Udon,2026-07-14,Tuesday,dinner,224,131,56720,7430320
MRG-001,Marugame Udon,2026-07-14,Tuesday,late_night,69,53,67547,3579991
MRG-001,Marugame Udon,2026-07-15,Wednesday,breakfast,36,29,55620,1612980
MRG-001,Marugame Udon,2026-07-15,Wednesday,lunch,263,209,54946,11483714
MRG-001,Marugame Udon,2026-07-15,Wednesday,afternoon,77,64,68862,4407168
MRG-001,Marugame Udon,2026-07-15,Wednesday,dinner,205,164,62498,10249672
MRG-001,Marugame Udon,2026-07-15,Wednesday,late_night,67,40,58026,2321040
MRG-001,Marugame Udon,2026-07-16,Thursday,breakfast,34,25,57583,1439575
MRG-001,Marugame Udon,2026-07-16,Thursday,lunch,302,214,69250,14819500
MRG-001,Marugame Udon,2026-07-16,Thursday,afternoon,74,50,72067,3603350
MRG-001,Marugame Udon,2026-07-16,Thursday,dinner,293,244,63413,15472772
MRG-001,Marugame Udon,2026-07-16,Thursday,late_night,77,64,61828,3956992
MRG-001,Marugame Udon,2026-07-17,Friday,breakfast,39,27,53796,1452492
MRG-001,Marugame Udon,2026-07-17,Friday,lunch,261,174,68930,11993820
MRG-001,Marugame Udon,2026-07-17,Friday,afternoon,85,56,53096,2973376
MRG-001,Marugame Udon,2026-07-17,Friday,dinner,300,178,64670,11511260
MRG-001,Marugame Udon,2026-07-17,Friday,late_night,87,73,69505,5073865
MRG-001,Marugame Udon,2026-07-18,Saturday,breakfast,60,40,71372,2854880
MRG-001,Marugame Udon,2026-07-18,Saturday,lunch,419,340,67836,23064240
MRG-001,Marugame Udon,2026-07-18,Saturday,afternoon,113,73,70107,5117811
MRG-001,Marugame Udon,2026-07-18,Saturday,dinner,414,303,55460,16804380
MRG-001,Marugame Udon,2026-07-18,Saturday,late_night,98,72,71411,5141592
MRG-001,Marugame Udon,2026-07-19,Sunday,breakfast,49,33,59732,1971156
MRG-001,Marugame Udon,2026-07-19,Sunday,lunch,406,302,68995,20836490
MRG-001,Marugame Udon,2026-07-19,Sunday,afternoon,131,75,63871,4790325
MRG-001,Marugame Udon,2026-07-19,Sunday,dinner,318,243,71245,17312535
MRG-001,Marugame Udon,2026-07-19,Sunday,late_night,95,67,56900,3812300
MRG-001,Marugame Udon,2026-07-20,Monday,breakfast,31,20,65987,1319740
MRG-001,Marugame Udon,2026-07-20,Monday,lunch,209,170,63925,10867250
MRG-001,Marugame Udon,2026-07-20,Monday,afternoon,73,58,58843,3412894
MRG-001,Marugame Udon,2026-07-20,Monday,dinner,231,162,68060,11025720
MRG-001,Marugame Udon,2026-07-20,Monday,late_night,77,48,63226,3034848
MRG-001,Marugame Udon,2026-07-21,Tuesday,breakfast,33,27,61961,1672947
MRG-001,Marugame Udon,2026-07-21,Tuesday,lunch,235,129,59597,7688013
MRG-001,Marugame Udon,2026-07-21,Tuesday,afternoon,64,49,64822,3176278
MRG-001,Marugame Udon,2026-07-21,Tuesday,dinner,229,190,66629,12659510
MRG-001,Marugame Udon,2026-07-21,Tuesday,late_night,68,42,58741,2467122
MRG-001,Marugame Udon,2026-07-22,Wednesday,breakfast,40,28,55312,1548736
MRG-001,Marugame Udon,2026-07-22,Wednesday,lunch,258,198,54563,10803474
MRG-001,Marugame Udon,2026-07-22,Wednesday,afternoon,86,52,69063,3591276
MRG-001,Marugame Udon,2026-07-22,Wednesday,dinner,245,145,61464,8912280
MRG-001,Marugame Udon,2026-07-22,Wednesday,late_night,68,39,61447,2396433
MRG-001,Marugame Udon,2026-07-23,Thursday,breakfast,26,14,66872,936208
MRG-001,Marugame Udon,2026-07-23,Thursday,lunch,220,157,69069,10843833
MRG-001,Marugame Udon,2026-07-23,Thursday,afternoon,83,60,66003,3960180
MRG-001,Marugame Udon,2026-07-23,Thursday,dinner,253,191,72708,13887228
MRG-001,Marugame Udon,2026-07-23,Thursday,late_night,65,43,55804,2399572
MRG-001,Marugame Udon,2026-07-24,Friday,breakfast,33,22,73143,1609146
MRG-001,Marugame Udon,2026-07-24,Friday,lunch,260,184,67252,12374368
MRG-001,Marugame Udon,2026-07-24,Friday,afternoon,80,44,55675,2449700
MRG-001,Marugame Udon,2026-07-24,Friday,dinner,243,200,54855,10971000
MRG-001,Marugame Udon,2026-07-24,Friday,late_night,77,44,60256,2651264
MRG-001,Marugame Udon,2026-07-25,Saturday,breakfast,43,25,58864,1471600
MRG-001,Marugame Udon,2026-07-25,Saturday,lunch,310,197,52900,10421300
MRG-001,Marugame Udon,2026-07-25,Saturday,afternoon,88,69,61380,4235220
MRG-001,Marugame Udon,2026-07-25,Saturday,dinner,353,226,58402,13198852
MRG-001,Marugame Udon,2026-07-25,Saturday,late_night,75,57,52342,2983494
MRG-001,Marugame Udon,2026-07-26,Sunday,breakfast,38,21,62659,1315839
MRG-001,Marugame Udon,2026-07-26,Sunday,lunch,326,223,59572,13284556
MRG-001,Marugame Udon,2026-07-26,Sunday,afternoon,106,84,70250,5901000
MRG-001,Marugame Udon,2026-07-26,Sunday,dinner,277,163,66003,10758489
MRG-001,Marugame Udon,2026-07-26,Sunday,late_night,102,76,55506,4218456
MRG-001,Marugame Udon,2026-07-27,Monday,breakfast,30,22,65726,1445972
MRG-001,Marugame Udon,2026-07-27,Monday,lunch,263,215,59598,12813570
MRG-001,Marugame Udon,2026-07-27,Monday,afternoon,71,53,61839,3277467
MRG-001,Marugame Udon,2026-07-27,Monday,dinner,231,133,55864,7429912
MRG-001,Marugame Udon,2026-07-27,Monday,late_night,58,42,68913,2894346
MRG-001,Marugame Udon,2026-07-28,Tuesday,breakfast,33,24,54131,1299144
MRG-001,Marugame Udon,2026-07-28,Tuesday,lunch,287,204,68612,13996848
MRG-001,Marugame Udon,2026-07-28,Tuesday,afternoon,90,63,68460,4312980
MRG-001,Marugame Udon,2026-07-28,Tuesday,dinner,224,124,66473,8242652
MRG-001,Marugame Udon,2026-07-28,Tuesday,late_night,64,53,58219,3085607
MRG-001,Marugame Udon,2026-07-29,Wednesday,breakfast,35,28,64778,1813784
MRG-001,Marugame Udon,2026-07-29,Wednesday,lunch,196,139,59198,8228522
MRG-001,Marugame Udon,2026-07-29,Wednesday,afternoon,76,53,72407,3837571
MRG-001,Marugame Udon,2026-07-29,Wednesday,dinner,202,122,52816,6443552
MRG-001,Marugame Udon,2026-07-29,Wednesday,late_night,62,41,54258,2224578
MRG-001,Marugame Udon,2026-07-30,Thursday,breakfast,39,24,56231,1349544
MRG-001,Marugame Udon,2026-07-30,Thursday,lunch,326,194,72802,14123588
MRG-001,Marugame Udon,2026-07-30,Thursday,afternoon,99,56,72995,4087720
MRG-001,Marugame Udon,2026-07-30,Thursday,dinner,237,181,58715,10627415
MRG-001,Marugame Udon,2026-07-30,Thursday,late_night,65,38,71528,2718064
MRG-001,Marugame Udon,2026-07-31,Friday,breakfast,37,30,53415,1602450
MRG-001,Marugame Udon,2026-07-31,Friday,lunch,214,156,57390,8952840
MRG-001,Marugame Udon,2026-07-31,Friday,afternoon,75,52,72741,3782532
MRG-001,Marugame Udon,2026-07-31,Friday,dinner,200,129,64209,8282961
MRG-001,Marugame Udon,2026-07-31,Friday,late_night,52,29,65940,1912260
MRG-001,Marugame Udon,2026-08-01,Saturday,breakfast,41,29,64920,1882680
MRG-001,Marugame Udon,2026-08-01,Saturday,lunch,329,256,66328,16979968
MRG-001,Marugame Udon,2026-08-01,Saturday,afternoon,105,75,61901,4642575
MRG-001,Marugame Udon,2026-08-01,Saturday,dinner,410,287,69156,19847772
MRG-001,Marugame Udon,2026-08-01,Saturday,late_night,88,62,55919,3466978
MRG-001,Marugame Udon,2026-08-02,Sunday,breakfast,50,41,64252,2634332
MRG-001,Marugame Udon,2026-08-02,Sunday,lunch,262,207,72995,15109965
MRG-001,Marugame Udon,2026-08-02,Sunday,afternoon,106,79,55902,4416258
MRG-001,Marugame Udon,2026-08-02,Sunday,dinner,244,201,58183,11694783
MRG-001,Marugame Udon,2026-08-02,Sunday,late_night,76,57,73816,4207512
MRG-001,Marugame Udon,2026-08-03,Monday,breakfast,33,26,58355,1517230
MRG-001,Marugame Udon,2026-08-03,Monday,lunch,246,174,53803,9361722
MRG-001,Marugame Udon,2026-08-03,Monday,afternoon,75,56,70182,3930192
MRG-001,Marugame Udon,2026-08-03,Monday,dinner,285,242,71211,17233062
MRG-001,Marugame Udon,2026-08-03,Monday,late_night,66,46,69569,3200174
MRG-001,Marugame Udon,2026-08-04,Tuesday,breakfast,44,32,73393,2348576
MRG-001,Marugame Udon,2026-08-04,Tuesday,lunch,311,196,66559,13045564
MRG-001,Marugame Udon,2026-08-04,Tuesday,afternoon,84,51,72949,3720399
MRG-001,Marugame Udon,2026-08-04,Tuesday,dinner,247,203,55177,11200931
MRG-001,Marugame Udon,2026-08-04,Tuesday,late_night,88,64,52390,3352960
MRG-001,Marugame Udon,2026-08-05,Wednesday,breakfast,25,17,67296,1144032
MRG-001,Marugame Udon,2026-08-05,Wednesday,lunch,219,146,54045,7890570
MRG-001,Marugame Udon,2026-08-05,Wednesday,afternoon,79,58,63897,3706026
MRG-001,Marugame Udon,2026-08-05,Wednesday,dinner,234,185,61884,11448540
MRG-001,Marugame Udon,2026-08-05,Wednesday,late_night,49,41,60403,2476523
MRG-001,Marugame Udon,2026-08-06,Thursday,breakfast,33,26,69781,1814306
MRG-001,Marugame Udon,2026-08-06,Thursday,lunch,317,186,60276,11211336
MRG-001,Marugame Udon,2026-08-06,Thursday,afternoon,73,40,68301,2732040
MRG-001,Marugame Udon,2026-08-06,Thursday,dinner,270,203,67570,13716710
MRG-001,Marugame Udon,2026-08-06,Thursday,late_night,61,48,65762,3156576
