Nama Outlet,Kota/Wilayah,Alamat,Latitude,Longitude,Rating,Jumlah Ulasan,Telepon,Jam Operasional,Website,Google Maps URL
"Marugame Udon Royal Plaza","Surabaya","Royal Plaza, Jl. Ahmad Yani No.16-18 Lt LG, Surabaya 60231",-7.3094787,112.7344589,4.5,673,"+62 811-3663-732","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=2763748984961973839"
"Marugame Udon Pakuwon Supermall","Surabaya","Supermal Pakuwon Indah, Jl. Puncak Indah Lontar II No.2 Lt B1, Surabaya 60227",-7.2887795,112.6754902,4.5,874,"+62 811-3469-412","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=1029391190738391038"
"Marugame Udon Galaxy Mall","Surabaya","Galaxy Mall 2 Lt 4, Jl. Dharmahusada Indah Timur No.35-37, Surabaya 60115",-7.27473,112.7824347,4.4,354,"+62 811-3248-845","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=10853910003529765572"
"Marugame Udon Sun Plaza","Medan","Sun Plaza, Jl. KH. Zainul Arifin No.7 Lt LG, Medan 20152",3.5834337,98.6717436,4.6,2042,"+62 811-3248-837","10:00-21:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=62667470612122037"
"Marugame Udon OCBC Medan","Medan","Komplek OCBC, Ruko Jl. Ring Road, Medan 20133",3.5651753,98.6263879,4.4,364,"+62 811-3055-2925","10:00-22:00 (setiap hari)",,"https://maps.google.com/?cid=350198755943902033"
"Marugame Udon Plaza Medan Fair","Medan","Plaza Medan Fair, Jl. Gatot Subroto No.30 Lt 1, Medan 20113",3.5933956,98.6632199,3.7,102,"+62 811-3204-5271","10:00-21:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=2175065280997330422"
"Marugame Udon Deli Park Mall","Medan","Deli Park Mall Lt LG, Medan 20111",3.593321,98.6735009,4.3,479,"+62 811-3113-3484","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=9602597305384276561"
"Marugame Udon Centre Point Medan","Medan","Mall Centre Point Medan, Jl. Jawa No.8 Lt LG Unit 13, Medan 20231",3.5924281,98.6808748,3.9,156,,"10:00-21:30 (setiap hari)","https://www.centrepoint.co.id/stores/food-beverage/marugame-udon","https://maps.google.com/?cid=16702685146938723648"
"Marugame Udon Majapahit Semarang","Semarang","Jl. Brigjend Katamso No.30, Semarang 50232",-6.9954263,110.4357404,4.7,605,"+62 811-3059-9145","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=16984256601322167160"
"Marugame Udon Queen City Semarang","Semarang","Queen City Mall Lt 2 Unit L2-10, Semarang 50139",-6.9728663,110.4205609,4.7,242,"+62 811-3453-345","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=13752043260146114156"
"Marugame Udon Paragon Mall Semarang","Semarang","Paragon City Mall, Jl. Pemuda No.118 Lt 2, Semarang 50132",-6.9788296,110.4154723,4.6,1733,"+62 811-3483-512","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=5934658396516196934"
"Marugame Udon DP Mall Semarang","Semarang","DP Mall, Jl. Pemuda No.150 Lt 2, Semarang 50132",-6.9835909,110.4126166,4.6,370,"+62 811-3204-5261","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=723106413881594343"
"Marugame Udon Kaliurang Yogyakarta","Yogyakarta","Kaliurang St. KM 5,6 No.09, Sleman 55281",-7.7576199,110.3821667,4.8,465,"+62 811-1069-3819","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=10914585042504754317"
"Marugame Udon Plaza Ambarukmo","Yogyakarta","Ambarukmo Plaza, Jl. Laksda Adisucipto No.35 Lt 3, Sleman 55281",-7.7828492,110.4016829,4.6,2245,"+62 811-3466-909","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=4311950202484104103"
"Marugame Udon Pakuwon Mall Jogja","Yogyakarta","Pakuwon Mall Yogyakarta Lt LG Unit 15, Sleman 55281",-7.7592517,110.39897,4.7,1097,"+62 811-3663-683","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=1914309937627896053"
"Marugame Udon Jogja City Mall","Yogyakarta","Jl. Magelang No.18 Lt GF KM 5,8, Sleman 55284",-7.7524794,110.3609946,4.6,610,"+62 811-3113-3479","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=8670406803559360565"
"Marugame Udon Soekarno Hatta Malang","Malang","Jl. Soekarno Hatta No.19, Malang 65141",-7.9448836,112.6189486,4.7,387,"+62 811-3059-9159","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=8177704460640166722"
"Marugame Udon Semeru Malang","Malang","Jl. Semeru No.49, Malang 65115",-7.9731441,112.6232959,4.7,3992,"+62 811-3334-7699","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=6289789384038004965"
"Marugame Udon Pettarani","Makassar","Jl. A. P. Pettarani No.56, Makassar 90222",-5.1650554,119.4345733,4.9,454,"+62 811-8136-8188","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=9078639628987573281"
"Marugame Udon Mall Panakkukang","Makassar","Mall Panakkukang, Jl. Boulevard No.17 Lt GF, Makassar 90231",-5.1573415,119.44702,4.5,403,"+62 811-3248-867","10:00-22:00 (setiap hari)","http://www.marugameudon.co.id/","https://maps.google.com/?cid=5210591707906409066"
"Marugame Udon Bandara Sultan Hasanuddin","Makassar","Bandara Sultan Hasanuddin, Terminal Keberangkatan, Maros 90552",-5.0579636,119.5445625,4.5,10,"+62 811-8136-8189","06:00-21:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=10372707565888621966"
"Marugame Udon Ratu Indah","Makassar","Mal Ratu Indah Lt GF, Jl. DR. Ratulangi No.10, Makassar 90113",-5.1534977,119.4173293,4.5,351,"+62 811-3334-7411","10:00-22:00 (setiap hari)","https://locations.marugameudon.co.id/marugame-udon-ratu-indah-makassar","https://maps.google.com/?cid=13134854521801666472"
"Marugame Udon Trans Studio Makassar","Makassar","Jl. Metro Tj. Bunga Lt LG, Makassar 90224",-5.1593643,119.3944151,4.7,255,"+62 811-3663-715","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=10391829115054006591"
"Marugame Udon Palembang Icon","Palembang","Palembang Icon Mall, Jl. POM IX Lt GF, Palembang 30137",-2.9784882,104.7459339,4.7,733,"+62 811-3113-3471","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=17592446738735862325"
"Marugame Udon Palembang Indah Mall","Palembang","Palembang Indah Mall, Jl. Letkol Iskandar No.18 Lt GF, Palembang 30134",-2.9845458,104.753917,4.7,319,"+62 811-3059-9148","10:00-22:00 (setiap hari)","https://www.marugameudon.co.id/","https://maps.google.com/?cid=16279404278959815228"
"Marugame Udon Teuku Umar Bali","Denpasar, Bali","Jl. Teuku Umar No.141, Denpasar 80114",-8.6758084,115.207282,4.6,4949,"+62 811-3453-327","10:00-22:00 (setiap hari)","https://locations.marugameudon.co.id/marugame-udon-teuku-umar-bali","https://maps.google.com/?cid=2646419190292869546"
"Marugame Udon Living World Denpasar","Denpasar, Bali","Living World Denpasar Lt LG-25&25T, Jl. Gatot Subroto Timur, Denpasar 80235",-8.6351134,115.2319514,3.9,133,"+62 811-3059-9155","10:00-22:00 (setiap hari)",,"https://maps.google.com/?cid=3159046503390594810"
"Marugame Udon Bali Galeria","Denpasar, Bali","Mall Bali Galeria, Jl. Bypass Ngurah Rai No.63 Lt GF, Badung 80361",-8.7232231,115.184519,4.4,1338,"+62 811-3248-821","10:00-22:00 (setiap hari)","https://locations.marugameudon.co.id/marugame-udon-bali-galeria","https://maps.google.com/?cid=877518645811222994"
"Marugame Udon E-Walk Mall Balikpapan","Balikpapan","E-Walk Mall Balikpapan Lt UG.21A, Jl. Jenderal Sudirman No.47, Balikpapan 76114",-1.2734987,116.8598788,4.1,100,"+62 811-3248-846","10:00-22:00 (setiap hari)","https://marugameudon.co.id/","https://maps.google.com/?cid=15589519851348889249"
